dataset,rv_weight,seed,bv_target_cls,clean_acc,asr
ImageNet100,0.0,1,1,86.06,82.8080808080808
ImageNet100,0.1,1,1,85.72,81.4949494949495
ImageNet100,0.2,1,1,85.22,71.13131313131314
ImageNet100,0.3,1,1,83.94,46.80808080808081
ImageNet100,0.4,1,1,82.36,16.343434343434343
ImageNet100,0.5,1,1,80.80000000000001,3.111111111111111
ImageNet100,0.6,1,1,79.14,0.5656565656565656
ImageNet100,0.7,1,1,77.3,0.20202020202020202
ImageNet100,0.8,1,1,75.72,0.20202020202020202
ImageNet100,0.9,1,1,72.96000000000001,0.20202020202020202
ImageNet100,1.0,1,1,70.0,0.24242424242424243
ImageNet100,0.0,1,2,85.98,95.97979797979798
ImageNet100,0.1,1,2,85.78,93.43434343434343
ImageNet100,0.2,1,2,85.1,77.67676767676768
ImageNet100,0.3,1,2,84.04,36.24242424242424
ImageNet100,0.4,1,2,82.28,8.121212121212121
ImageNet100,0.5,1,2,80.80000000000001,1.8787878787878787
ImageNet100,0.6,1,2,79.0,0.6868686868686869
ImageNet100,0.7,1,2,77.3,0.48484848484848486
ImageNet100,0.8,1,2,75.74,0.5656565656565656
ImageNet100,0.9,1,2,72.61999999999999,0.5252525252525253
ImageNet100,1.0,1,2,69.74000000000001,0.48484848484848486
ImageNet100,0.0,1,3,86.11999999999999,78.84848484848484
ImageNet100,0.1,1,3,85.64,75.33333333333333
ImageNet100,0.2,1,3,85.28,60.06060606060606
ImageNet100,0.3,1,3,84.04,33.63636363636363
ImageNet100,0.4,1,3,82.56,12.929292929292929
ImageNet100,0.5,1,3,80.94,4.565656565656566
ImageNet100,0.6,1,3,79.02,2.4242424242424243
ImageNet100,0.7,1,3,77.0,1.676767676767677
ImageNet100,0.8,1,3,75.53999999999999,1.5959595959595958
ImageNet100,0.9,1,3,72.64,1.494949494949495
ImageNet100,1.0,1,3,69.66,1.3737373737373737
