dataset,rv_weight,seed,bv_target_cls,clean_acc,robust_acc,asr
ImageNet100,0.0,1,1,86.1,0.0,91.43434343434343
ImageNet100,0.1,1,1,86.1,0.0,82.9090909090909
ImageNet100,0.2,1,1,85.06,0.0,60.282828282828284
ImageNet100,0.3,1,1,84.11999999999999,0.0,25.93939393939394
ImageNet100,0.4,1,1,82.67999999999999,0.0,7.030303030303029
ImageNet100,0.5,1,1,81.12,0.68359375,1.6161616161616161
ImageNet100,0.6,1,1,78.97999999999999,6.4453125,0.7272727272727273
ImageNet100,0.7,1,1,76.68,14.6484375,0.5252525252525253
ImageNet100,0.8,1,1,74.14,22.0703125,0.5858585858585859
ImageNet100,0.9,1,1,71.08,27.63671875,0.5656565656565656
ImageNet100,1.0,1,1,68.54,31.15234375,0.6060606060606061
