dataset,seed,bv_target_cls,clean_acc,asr
CIFAR100,1,1,74.94,76.91919191919192
Cars,1,1,61.4351448824773,0.0
EuroSAT,1,1,81.33333333333333,0.0
GTSRB,1,1,52.99287410926365,0.0
PETS,1,1,87.59880076315072,0.0
SUN397,1,1,25.284634760705288,0.0
CIFAR100,1,2,74.94,78.0909090909091
Cars,1,2,61.4351448824773,0.0
EuroSAT,1,2,81.33333333333333,0.0
GTSRB,1,2,52.99287410926365,0.0
PETS,1,2,87.59880076315072,0.0
SUN397,1,2,25.284634760705288,0.0
CIFAR100,1,3,74.94,94.48484848484848
Cars,1,3,61.4351448824773,0.0
EuroSAT,1,3,81.33333333333333,0.0
GTSRB,1,3,52.99287410926365,0.0
PETS,1,3,87.59880076315072,0.0
SUN397,1,3,25.284634760705288,0.0
